stock_id,stock_name
1101,台泥
1102,亞泥
1216,統一
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1308,亞聚
1326,台化
1402,遠東新
1503,士電
1504,東元
1513,中興電
1519,華城
1590,亞德客-KY
1605,華新
1717,長興
1722,台肥
1802,台玻
2002,中鋼
2049,上銀
2059,川湖
2105,正新
2106,建大
2204,中華車
2207,和泰車
2301,光寶科
2303,聯電
2308,台達電
2313,華通
2317,鴻海
2324,仁寶
2327,國巨
2330,台積電
2344,華邦電
2345,智邦
2347,聯強
2356,英業達
2357,華碩
2360,致茂
2368,金像電
2376,技嘉
2377,微星
2379,瑞昱
2382,廣達
2383,台光電
2395,研華
2404,漢唐
2408,南亞科
2409,友達
2412,中華電
2449,京元電子
2454,聯發科
2603,長榮
2609,陽明
2610,華航
2615,萬海
2618,長榮航
2633,台灣高鐵
2801,彰銀
2834,臺企銀
2880,華南金
2881,富邦金
2882,國泰金
2883,凱基金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2890,永豐金
2891,中信金
2892,第一金
2912,統一超
3008,大立光
3017,奇鋐
3034,聯詠
3036,文曄
3037,欣興
3044,健鼎
3045,台灣大
3189,景碩
3231,緯創
3324,雙鴻
3443,創意
3481,群創
3533,嘉澤
3653,健策
3661,世芯-KY
3665,貿聯-KY
3702,大聯大
3706,神達
3711,日月光投控
4904,遠傳
4938,和碩
4958,臻鼎-KY
5269,祥碩
5274,信驊
5483,中美晶
5871,中租-KY
5876,上海商銀
5880,合庫金
6139,亞翔
6239,力成
6415,矽力*-KY
6446,藥華藥
6488,環球晶
6505,台塑化
6515,穎崴
6669,緯穎
6770,力積電
6789,采鈺
6805,富世達
7769,鴻勁
8046,南電
8069,元太
8210,勤誠
9904,寶成
9910,豐泰
9914,美利達
9921,巨大